origin_country,total_flights,avg_velocity,on_ground
Afghanistan,2,189.39999999999998,0
Algeria,10,233.314,0
Argentina,5,188.496,1
Australia,28,139.50035714285715,5
Austria,79,151.33696202531647,17
Azerbaijan,2,260.47,0
Bahamas,4,149.4,0
Bahrain,7,181.5257142857143,0
Bangladesh,5,157.126,1
Belarus,1,242.42,0
Belgium,20,171.11100000000002,2
Bolivia,2,221.01,0
Botswana,1,193.63,0
Brazil,104,163.90144230769232,12
Brunei Darussalam,3,148.35999999999999,0
Bulgaria,7,195.1157142857143,0
Cambodia,3,212.58333333333334,0
Canada,405,152.24851851851852,60
Chile,15,178.13400000000001,1
China,122,198.63631147540985,4
Colombia,14,112.28142857142858,3
Croatia,3,240.59666666666666,0
Cyprus,4,171.01500000000001,1
Czech Republic,8,144.03,1
Denmark,11,221.91363636363639,0
Dominican Republic,3,220.2733333333333,0
Egypt,23,245.48478260869564,0
Estonia,8,181.445,1
Ethiopia,13,232.68384615384613,0
Finland,32,153.690625,5
France,127,190.17307086614173,3
Georgia,4,104.88,2
Germany,110,180.01336363636364,11
Greece,22,161.94,1
Guatemala,5,57.348,1
Guinea,1,3.86,1
Hungary,45,197.2275,3
Iceland,3,222.81333333333336,0
India,174,174.9675287356322,11
Indonesia,8,201.895,1
Iraq,2,160.14,0
Ireland,243,185.18234567901234,16
Islamic Republic of Iran,5,196.476,0
Israel,27,207.8374074074074,0
Italy,7,112.37,0
Japan,45,214.752,0
Jordan,14,236.70857142857145,1
Kazakhstan,2,219.86,0
Kenya,1,78.52,0
Kingdom of the Netherlands,103,166.14970873786407,16
Kuwait,14,273.475,0
Latvia,22,164.60227272727272,4
Lebanon,1,165.18,0
Libyan Arab Jamahiriya,2,230.355,0
Lithuania,13,143.72692307692307,3
Luxembourg,10,172.21099999999998,2
Malawi,1,177.83,0
Malaysia,35,193.62342857142858,2
Maldives,1,250.81,0
Malta,144,201.27173611111112,9
Mauritania,1,250.1,0
Mauritius,2,262.11,0
Mexico,104,183.035,4
Montenegro,1,220.2,0
Morocco,30,186.51366666666667,4
Nepal,1,282.23,0
New Zealand,11,170.18727272727273,1
Nigeria,2,224.35000000000002,0
Norway,12,192.7875,0
Oman,10,226.67,0
Pakistan,4,164.66500000000002,0
Panama,25,182.0084,3
Paraguay,1,128.78,0
Philippines,19,177.48526315789474,2
Poland,65,195.34384615384616,3
Portugal,38,150.06,7
Qatar,68,241.84823529411764,0
Republic of Korea,61,199.5293442622951,5
Republic of Moldova,1,217.63,0
Romania,3,251.25,0
Russian Federation,34,132.6005882352941,0
San Marino,4,193.035,0
Saudi Arabia,21,204.52380952380952,0
Senegal,1,202.0,0
Serbia,8,182.5425,0
Singapore,22,253.47727272727272,0
Slovenia,1,186.11,0
South Africa,16,156.65375,1
Spain,152,169.80875,11
Sri Lanka,10,198.279,0
Sweden,32,196.5709375,1
Switzerland,77,163.3955844155844,12
Taiwan,24,243.50666666666666,0
Thailand,21,187.63285714285715,1
Trinidad and Tobago,2,219.735,0
Tunisia,10,187.00799999999998,1
Turkey,161,201.2767701863354,6
Uganda,1,132.98,0
Ukraine,2,179.84,0
United Arab Emirates,136,206.33742647058824,5
United Kingdom,285,181.7493333333333,26
United Republic of Tanzania,1,214.74,0
United States,6181,141.0035922330097,411
Uzbekistan,3,211.74666666666667,0
Venezuela,2,99.96000000000001,0
Viet Nam,25,196.7336,1
